1	is_a	relationship	is_a	0	0	1
2	consider	metadata	consider	0	0	1
3	replaced_by	metadata	replaced_by	0	0	1
4	Term not to be used for direct annotation	subset	gocheck_do_not_annotate	0	0	0
5	Term not to be used for direct manual annotation	subset	gocheck_do_not_manually_annotate	0	0	0
6	AGR slim	subset	goslim_agr	0	0	0
7	Aspergillus GO slim	subset	goslim_aspergillus	0	0	0
8	Candida GO slim	subset	goslim_candida	0	0	0
9	ChEMBL protein targets summary	subset	goslim_chembl	0	0	0
10	Generic GO slim	subset	goslim_generic	0	0	0
11	Metagenomics GO slim	subset	goslim_metagenomics	0	0	0
12	Mouse GO slim	subset	goslim_mouse	0	0	0
13	PIR GO slim	subset	goslim_pir	0	0	0
14	Plant GO slim	subset	goslim_plant	0	0	0
15	Fission yeast GO slim	subset	goslim_pombe	0	0	0
16	synapse GO slim	subset	goslim_synapse	0	0	0
17	Yeast GO slim	subset	goslim_yeast	0	0	0
18	negatively_regulates	external	negatively_regulates	0	0	1
19	never_in_taxon	external	never_in_taxon	0	0	1
20	part_of	external	part_of	0	0	1
21	positively_regulates	external	positively_regulates	0	0	1
22	regulates	external	regulates	0	0	1
23	mitochondrion inheritance	biological_process	GO:0000001	0	0	0
24	exact	synonym_scope	exact	0	0	0
25	mitochondrial genome maintenance	biological_process	GO:0000002	0	0	0
26	reproduction	biological_process	GO:0000003	0	0	0
27	alt_id	synonym_type	alt_id	0	0	0
28	obsolete ribosomal chaperone activity	molecular_function	GO:0000005	1	0	0
29	obsolete_molecular_function	molecular_function	obsolete_molecular_function	1	0	0
30	ribosome biogenesis	biological_process	GO:0042254	0	0	0
31	protein binding involved in protein folding	molecular_function	GO:0044183	0	0	0
32	unfolded protein binding	molecular_function	GO:0051082	0	0	0
33	high-affinity zinc transmembrane transporter activity	molecular_function	GO:0000006	0	0	0
34	related	synonym_scope	related	0	0	0
35	low-affinity zinc ion transmembrane transporter activity	molecular_function	GO:0000007	0	0	0
36	obsolete thioredoxin	molecular_function	GO:0000008	1	0	0
37	protein disulfide isomerase activity	molecular_function	GO:0003756	0	0	0
38	disulfide oxidoreductase activity	molecular_function	GO:0015036	0	0	0
39	alpha-1,6-mannosyltransferase activity	molecular_function	GO:0000009	0	0	0
40	trans-hexaprenyltranstransferase activity	molecular_function	GO:0000010	0	0	0
41	vacuole inheritance	biological_process	GO:0000011	0	0	0
42	single strand break repair	biological_process	GO:0000012	0	0	0
43	single-stranded DNA endodeoxyribonuclease activity	molecular_function	GO:0000014	0	0	0
44	phosphopyruvate hydratase complex	cellular_component	GO:0000015	0	0	0
45	lactase activity	molecular_function	GO:0000016	0	0	0
46	broad	synonym_scope	broad	0	0	0
47	alpha-glucoside transport	biological_process	GO:0000017	0	0	0
48	regulation of DNA recombination	biological_process	GO:0000018	0	0	0
49	regulation of mitotic recombination	biological_process	GO:0000019	0	0	0
50	narrow	synonym_scope	narrow	0	0	0
51	obsolete negative regulation of recombination within rDNA repeats	biological_process	GO:0000020	1	0	0
52	obsolete_biological_process	biological_process	obsolete_biological_process	1	0	0
53	negative regulation of mitotic recombination	biological_process	GO:0045950	0	0	0
54	mitotic spindle elongation	biological_process	GO:0000022	0	0	0
55	maltose metabolic process	biological_process	GO:0000023	0	0	0
56	maltose biosynthetic process	biological_process	GO:0000024	0	0	0
57	maltose catabolic process	biological_process	GO:0000025	0	0	0
58	alpha-1,2-mannosyltransferase activity	molecular_function	GO:0000026	0	0	0
59	ribosomal large subunit assembly	biological_process	GO:0000027	0	0	0
60	ribosomal small subunit assembly	biological_process	GO:0000028	0	0	0
61	mannosyltransferase activity	molecular_function	GO:0000030	0	0	0
62	mannosylphosphate transferase activity	molecular_function	GO:0000031	0	0	0
63	cell wall mannoprotein biosynthetic process	biological_process	GO:0000032	0	0	0
64	alpha-1,3-mannosyltransferase activity	molecular_function	GO:0000033	0	0	0
65	adenine deaminase activity	molecular_function	GO:0000034	0	0	0
66	acyl binding	molecular_function	GO:0000035	0	0	0
67	acyl carrier activity	molecular_function	GO:0000036	0	0	0
68	very long-chain fatty acid metabolic process	biological_process	GO:0000038	0	0	0
69	obsolete plasma membrane long-chain fatty acid transporter	molecular_function	GO:0000039	1	0	0
70	long-chain fatty acid transporter activity	molecular_function	GO:0005324	0	0	0
71	plasma membrane	cellular_component	GO:0005886	0	0	0
72	transition metal ion transport	biological_process	GO:0000041	0	0	0
73	obsolete ascorbate stabilization	biological_process	GO:0000044	1	0	0
74	autophagosome assembly	biological_process	GO:0000045	0	0	0
75	obsolete Rieske iron-sulfur protein	molecular_function	GO:0000047	1	0	0
76	electron transfer activity	molecular_function	GO:0009055	0	0	0
77	peptidyltransferase activity	molecular_function	GO:0000048	0	0	0
78	tRNA binding	molecular_function	GO:0000049	0	0	0
79	urea cycle	biological_process	GO:0000050	0	0	0
80	obsolete urea cycle intermediate metabolic process	biological_process	GO:0000051	1	0	0
81	citrulline metabolic process	biological_process	GO:0000052	0	0	0
82	argininosuccinate metabolic process	biological_process	GO:0000053	0	0	0
83	ribosomal subunit export from nucleus	biological_process	GO:0000054	0	0	0
84	ribosomal large subunit export from nucleus	biological_process	GO:0000055	0	0	0
85	ribosomal small subunit export from nucleus	biological_process	GO:0000056	0	0	0
86	obsolete protein import into nucleus, docking	biological_process	GO:0000059	1	0	0
87	protein import into nucleus, translocation	biological_process	GO:0000060	0	0	0
88	protein import into nucleus, substrate release	biological_process	GO:0000061	0	0	0
89	fatty-acyl-CoA binding	molecular_function	GO:0000062	0	0	0
90	L-ornithine transmembrane transporter activity	molecular_function	GO:0000064	0	0	0
91	obsolete DNA replication and chromosome cycle	biological_process	GO:0000067	1	0	0
92	DNA replication	biological_process	GO:0006260	0	0	0
93	chromosome segregation	biological_process	GO:0007059	0	0	0
94	chromosome organization	biological_process	GO:0051276	0	0	0
95	mitotic sister chromatid segregation	biological_process	GO:0000070	0	0	0
96	obsolete M phase specific microtubule process	biological_process	GO:0000072	1	0	0
97	microtubule-based process	biological_process	GO:0007017	0	0	0
98	mitotic spindle pole body separation	biological_process	GO:0000073	0	0	0
99	cell cycle checkpoint	biological_process	GO:0000075	0	0	0
100	DNA replication checkpoint	biological_process	GO:0000076	0	0	0
101	DNA damage checkpoint	biological_process	GO:0000077	0	0	0
102	obsolete cytokinesis after mitosis checkpoint	biological_process	GO:0000078	1	0	0
103	mitotic cytokinesis checkpoint	biological_process	GO:0044878	0	0	0
104	morphogenesis checkpoint	biological_process	GO:0044879	0	0	0
105	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	GO:0000079	0	0	0
106	mitotic G1 phase	biological_process	GO:0000080	0	0	0
107	G1/S transition of mitotic cell cycle	biological_process	GO:0000082	0	0	0
108	regulation of transcription involved in G1/S transition of mitotic cell cycle	biological_process	GO:0000083	0	0	0
109	mitotic S phase	biological_process	GO:0000084	0	0	0
110	mitotic G2 phase	biological_process	GO:0000085	0	0	0
111	G2/M transition of mitotic cell cycle	biological_process	GO:0000086	0	0	0
112	mitotic M phase	biological_process	GO:0000087	0	0	0
113	mitotic prophase	biological_process	GO:0000088	0	0	0
114	mitotic metaphase	biological_process	GO:0000089	0	0	0
115	mitotic anaphase	biological_process	GO:0000090	0	0	0
116	mitotic anaphase A	biological_process	GO:0000091	0	0	0
117	mitotic anaphase B	biological_process	GO:0000092	0	0	0
118	mitotic telophase	biological_process	GO:0000093	0	0	0
119	obsolete septin assembly and septum formation	biological_process	GO:0000094	1	0	0
120	division septum assembly	biological_process	GO:0000917	0	0	0
121	division septum site selection	biological_process	GO:0000918	0	0	0
122	septin ring assembly	biological_process	GO:0000921	0	0	0
123	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function	GO:0000095	0	0	0
124	sulfur amino acid metabolic process	biological_process	GO:0000096	0	0	0
125	sulfur amino acid biosynthetic process	biological_process	GO:0000097	0	0	0
126	sulfur amino acid catabolic process	biological_process	GO:0000098	0	0	0
127	sulfur amino acid transmembrane transporter activity	molecular_function	GO:0000099	0	0	0
128	S-methylmethionine transmembrane transporter activity	molecular_function	GO:0000100	0	0	0
129	sulfur amino acid transport	biological_process	GO:0000101	0	0	0
130	L-methionine secondary active transmembrane transporter activity	molecular_function	GO:0000102	0	0	0
131	sulfate assimilation	biological_process	GO:0000103	0	0	0
132	succinate dehydrogenase activity	molecular_function	GO:0000104	0	0	0
133	histidine biosynthetic process	biological_process	GO:0000105	0	0	0
134	imidazoleglycerol-phosphate synthase activity	molecular_function	GO:0000107	0	0	0
135	obsolete repairosome	cellular_component	GO:0000108	1	0	0
136	obsolete_cellular_component	cellular_component	obsolete_cellular_component	1	0	0
137	nucleotide-excision repair complex	cellular_component	GO:0000109	0	0	0
